Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2002,25th Hour,American,Spike Lee,"Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Anna Paquin, Brian Cox",drama,https://en.wikipedia.org/wiki/25th_Hour,"A canary yellow vintage Super Bee pulls up short on a New York City street, and Montgomery ""Monty"" Brogan gets out with his buddy Kostya to look at a dog lying in the road. The animal was mauled in a dogfight so Monty intends to shoot him, but changes his mind after he looks it in the eye. Monty decides to take the dog to a nearby clinic instead.
Fast forward to late 2002. Monty is about to begin serving a seven-year prison sentence for dealing drugs. He sits in a park with Doyle, the dog he rescued, on his last day of freedom. He plans to meet childhood friends Frank Slaughtery and Jacob Elinsky at a club with his girlfriend Naturelle. Frank is a hotshot trader on Wall Street; Jacob is an introverted high school teacher with a crush on 17-year-old Mary, one of his students.
Monty visits his father, James, a former firefighter and recovering alcoholic who owns a bar, to confirm their plans to drive to the prison the following morning. Monty's drug money helped James keep the bar, so a remorseful James sneaks a drink when Monty goes to the bathroom. Facing himself in the mirror, Monty lashes out in his mind against everyone else: all the New York stereotypes he can think of, from the cabbies to the firefighters, the corner grocers to the mobsters, as if he hates them all. Finally, he turns on himself, revealing that he is actually angry for getting greedy and having not given up drug dealing before he was caught.
In a flashback, Monty remembers the night he was arrested. DEA detectives come to Monty's apartment while he's still there. They find the drugs immediately and not after any real search, suggesting that Monty had been betrayed. Monty sold drugs for Uncle Nikolai, a Russian mobster. Kostya tries to persuade Monty it was Naturelle who turned him in, since she knew where he hid his drugs and money. Monty refused to turn state's evidence against Nikolai, but he's not sure what Nikolai will do at the club that night. Monty remembers how he met Naturelle when she was 18, hanging around his old school, and how happy they were. He asks Frank to find out if it was Naturelle who betrayed him.
Jacob sees Mary outside the club, so Monty invites her inside with them. Discussing what kind of a future Monty can have after prison, Frank says they can open a bar together, even though he told Jacob he believes Monty's life is over, and that Monty deserves his sentence for dealing drugs. Frank accuses Naturelle of living high on Monty's money, not caring where it came from, but she reminds Frank that he knew as well and said nothing. The argument culminates in Frank's insulting Naturelle's ethnicity, followed by her slapping Frank and leaving. Jacob, meanwhile, finds the courage to kiss Mary, but both appear to be in shock afterwards and go their separate ways.
Monty and Kostya go see Uncle Nikolai, who gives Monty advice on surviving in prison. Nikolai then reveals it was Kostya, not Naturelle, who betrayed Monty, and offers him a chance to kill Kostya in exchange for protecting his father's bar. Monty refuses, reminding Nikolai that he had asked Monty to trust Kostya in the first place. Monty walks out, leaving Kostya to be killed by the Russian mobsters.
Monty returns to his apartment and apologizes to Naturelle for mistrusting her. At the park, he transfers custody of Doyle to Jacob. Then he admits that he is terrified of being raped in prison, whereupon he asks Frank to brutally beat him, saying if he goes in ugly he might have a chance at survival. Frank refuses, so Monty deliberately provokes him. Frank is goaded into taking out his frustration, leaving Monty bruised and bloody, with a broken nose. Frank is in tears as Monty gets up and goes home.
Naturelle tries to comfort him as Monty's father arrives to take him to Federal Correctional Institution, Otisville. On the drive to prison, James suggests they go west, into hiding, giving Monty one last vision of freedom. Once again Monty sees a parade of faces from the streets of the city, followed by a vision of a future where Monty avoids imprisonment, reunites with Naturelle, starts a family, and grows old. As the fantasy ends, we see Monty, his eyes closed and face still bruised, sitting in the passenger's seat of the car, which has driven past the bridge to the west and towards prison."
2001,Tape,American,Richard Linklater,"Ethan Hawke, Robert Sean Leonard, Uma Thurman",drama,https://en.wikipedia.org/wiki/Tape_(film),"The entire film is set inside a Lansing, Michigan motel room. Vince, a drug dealer/volunteer firefighter who lives in Oakland, California, rents the room in his hometown to support his old high school friend's entry into the Lansing Film Festival.
His friend, documentary filmmaker Jon Salter, joins Vince in his motel room and the two reminisce about their high school years. At first, the two are happy to see one another, but friction soon develops. Eventually, they get on the subject of Amy, Vince's former girlfriend. It appears that, while they dated for some time, Vince and Amy never had sex. However, after or at the point when their relationship had ended, Amy slept with Jon.
Vince claims Amy had told him that Jon had raped her. Vince becomes obsessed with, and eventually succeeds in getting a verbal confession from Jon. Immediately after Jon's admission, Vince pulls out a hidden tape recorder that had been recording their whole conversation, much to Jon's horror. Vince then tells Jon that he has invited Amy to dinner, and that she will be arriving shortly.
Eventually Amy does arrive and, even though all three of them feel awkward, they begin to talk. Amy explains that she is now an assistant district attorney in the Lansing Justice Department. Eventually, the three discuss what actually happened between Jon and Amy that night at the party, 10 years in the past.
Jon asks Amy's forgiveness for raping her, but Amy claims that the encounter was consensual, leading Jon to believe that she is in denial or is toying with him. After Jon becomes annoyed that Amy is refusing to accept his apology, Amy calls the police. She asks for a squad car to pick up one person in possession of drugs (Vince), and one in relation to a verifiable rape (Jon). After concluding her phone call, Amy warns the men that they only have about four minutes to make a run for it.
In order to prove to Amy that he is truly remorseful, Jon decides to stay and wait for the police. Vince, realizing that there is nowhere for him to run, flushes his narcotics down the toilet and destroys the tape containing Jon's confession. Soon after, Amy reveals that she didn't really call the police and leaves."
2008,Harold & Kumar Escape from Guantanamo Bay,American,"Jon Hurwitz, Hayden Schlossberg","John Cho, Kal Penn",comedy,https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay,"After returning home from White Castle, Harold Lee and Kumar Patel decide to travel to Amsterdam, Netherlands so Harold can surprise his neighbor and newfound girlfriend Maria. At the airport, the duo encounter Kumar's ex-girlfriend Vanessa Fanning, who is engaged to Colton Graham, a college friend of Harold's whose family has political connections. The plane passengers mistake Kumar's bong for a bomb and the duo are apprehended by sky marshals. Ron Fox, a neurotic and racist Deputy of Secretary of Homeland Security, believes the duo are agents of a joint Al-Qaeda and North Korean conspiracy and send them to Guantanamo Bay detention camp in Cuba. The duo escape and board a Cuban refugee boat to Miami, Florida where they begin their trek to Texas, hoping Colton can clear their names. On the road, Kumar has flashbacks of meeting Vanessa in college.
The duo endure several misadventures on their way to Texas, such as staying at the home of incestuous sibling couple and their imbred son, escaping a Ku Klux Klan rally, and visiting a brothel with Neil Patrick Harris, who helps them evade capture from Fox. When they reach Texas, Colton agrees to exonerate the duo, but upon seeing Kumar reconnect with Vanessa, Colton instead delivers them to Fox. On the flight back to Cuba, Harold and Kumar subdue Fox and his guards and escape via parachute. Fox falls to his death in the struggle. The two land in President George W. Bush's estate. While smoking cannabis with the duo, Bush pardons them. The duo are escorted to Vanessa and Colton's wedding by Secret Service and expose Colton's betrayal to Vanessa and the guests. Colton confronts them, but Harold punches him out. Kumar consoles a furious Vanessa by reciting a poem he wrote for her in college and they reconcile. Harold, Kumar, and Vanessa travel to Amsterdam where Harold finds Maria. The couples happily tour the city while getting high off cannabis."
2009,Labor Pains,American,Lara Shapiro,"Lindsay Lohan, Luke Kirby, Cheryl Hines, Chris Parnell, Bridgit Mendler, Kevin Covais","romantic comedy, romantic",https://en.wikipedia.org/wiki/Labor_Pains,"Thea Clayhill is about to lose her position as secretary to a very cranky publisher. So she lies about being pregnant to save her job, as she saw on an episode of Law & Order that it is discriminatory to fire a pregnant woman. The plan works, and she gets to keep her job.
With help from her friend Lisa—and a ""baby bump"" stolen from a mannequin—Thea fakes her pregnancy while figuring out her next move. In the meantime, her boss gets called out of town and his cute brother Nick takes over. In an attempt to get an author Suzie Cavandish to publish a book with the company, he takes Thea to a meeting with the author. Thea convinces the author that they are the right ""home"" for her book. Nick then launches a new parenting division at the publishing company, and he wants Thea to be the editor. This results in a raise and promotion for Thea, as well as the beginning of a romantic relationship between her and Nick after breaking off her fake engagement with Miles. She begins to enjoy her life to the extent that her ""pregnancy"" becomes real to her. In an attempt to get Thea to admit her lie to her family, her little sister Emma throws Thea a surprise baby shower. When Thea still doesn't admit the lie, Emma destroys her pregnancy pillow in a fit of rage. Quickly, Thea grabs a balloon and leaves. Later that day, the author of the book is going to have a book reading, but her boss comes back a week early, and gets into an argument with Nick (which ends with Nick jumping on him, then Thea pulling them apart). After insulting Thea, she tries to go at him. Nick holds her back by the stomach, and her balloon pops, blowing her cover. After a couple of nights, Nick still does not answer the hundreds of calls Thea left him. She gets to go on the show talking about the book Suzie wrote. After everyone leaves, Thea and Nick kiss until the lights go out.
Two years later, Thea, pregnant for real (with her and Nick's child), goes into labor. Nick and Lisa are left pushing Thea to the hospital in a desk chair."
2009,The Time Traveler's Wife,American,Robert Schwentke,"Eric Bana, Rachel McAdams",romantic drama,https://en.wikipedia.org/wiki/The_Time_Traveler%27s_Wife_(film),"In the early 1970s, Henry DeTamble is in a car accident that kills his mother but which he survives by inadvertently time traveling back two weeks. Moments later, Henry is helped by an older version of himself who has also traveled back. Unable to control the timing or destinations of his traveling, Henry finds himself drawn to significant people, places, and events in his life but is incapable of changing events beyond the minor differences his presence creates.
In 1991, Henry meets Clare Abshire in the library where he works. She is overjoyed to see him although he is actually meeting her for the first time. Clare explains that she met Henry's future self when she was a child, and that he informed her then that they would meet in the future, which is happening at the moment. Since childhood, Henry has been Clare's best friend and has visited her. As a child, Clare develops a crush on Henry, and she is upset to learn that he is married. When Clare turns 18, two years before their meeting at the library, the older Henry kisses her, leading her to realize that he is her husband in the future. They begin a relationship, which is challenged by Henry's disorder. His sporadic time traveling is further complicated by the fact that he arrives at his destinations completely naked. From an early age, he had learned how to pick locks and to steal clothing to endure his travels. Among his getaways are many visits to young Clare. From present-day Clare's diary, he gets a list of dates when he visited her, and gives those to young Clare so that she can be waiting for him with clothes. Falling in love, Henry and Clare eventually marry, though he actually time travels away before the ceremony and a visibly older version of himself arrives in time to step in, slightly confusing the guests.
Henry's disappearances allow him to win the lottery by having the numbers in advance, but his disorder takes a toll on his relationship with Clare. It also makes having a child with Clare seemingly impossible, as Henry's genes cause their unborn fetuses to time travel. They seek a renowned doctor's help, but after numerous similar miscarriages, Henry has a secret vasectomy to end their suffering. However, soon after, Clare gets pregnant one last time—by a visiting younger version of Henry—and carries the baby to full term. Before the child is born, Henry travels forward in time and happily meets their pre-teen daughter, Alba. She tells him that she is a time traveler, too, but has increasing control over when and where she travels. Alba tells Henry that he will die when she is five years old, a fact that Henry subsequently hides from Clare. Alba's pre-teen self, who ultimately tries to prepare her younger self for Henry's death, visits young Alba sporadically. Clare is devastated to discover Henry's impending death. Later, Henry time travels and is accidentally shot by Clare's father, who is hunting elk. Henry returns in time to die in Clare's arms. Some years later, a younger Henry visits Alba and Clare, giving Clare hope that he will visit again, though he tells her not to spend her life waiting for him, hoping this encounter would provide a proper closure for both Clare and Alba."
2007,TMNT,American,Kevin Munroe,"James Arnold Taylor, Mitchell Whitfield, Mikey Kelley, Nolan North",animation,https://en.wikipedia.org/wiki/TMNT_(film),"Three thousand years ago, warlord Yaotl enters a portal into a parallel universe and becomes immortal, but his four generals Aguila, Serpiente, Gato, and Mono are turned to stone. The portal also releases 13 immortal monsters that destroy his army and his enemies.
In the present, the Teenage Mutant Ninja Turtles have grown apart. After defeating Shredder, Master Splinter has sent Leonardo to Central America for training, where he protects a village from bandits. Donatello works as an IT specialist, Michelangelo works as a birthday party entertainer called ""Cowabunga Carl"", and Raphael secretly works at night as the vigilante ""Nightwatcher"". April O'Neil operates a company that locates and acquires relics for collectors, assisted by her boyfriend, Casey Jones.
April travels to Central America for work and finds Leonardo, telling him that the Turtles have drifted apart. April returns to New York City with a statue for wealthy tycoon Max Winters. Leonardo also returns, and April and Casey deliver the statue to Winters. Winters hires Karai and the Foot Clan to search the city for the 13 monsters before the portal opens again. Raphael encounters Casey, who reveals his knowledge of Raphael's double identity and joins him in hunting criminals. Winters, who is actually Yaotl and is still immortal, reanimates his stone generals. Leonardo returns to the sewer lair, meeting Splinter. Splinter forbids the Turtles from fighting until they can act as a team again. While training, the Turtles encounter one of the 13 beasts, Bigfoot, battling the Foot Clan. The Turtles engage Bigfoot, going against Leonardo and Splinter's orders. When Raphael visits Casey, they encounter Vampire Succubor, one of the monsters and witness its capture by the Foot and the Stone Generals, who spot them. Raphael is knocked unconscious. Casey takes Raphael back to the apartment while April calls the Turtles for help and reveals the identities of Yaotl and his generals. After being revived, Raphael suggests they pursue Yaotl, but Leonardo forbids him to go until Splinter gives out the order. Raphael investigates alone.
Leonardo, Donatello, and Michelangelo plan their next move, while Donatello discovers the next portal will open over Winters' tower. Splinter tells Leonardo that his team is incomplete, and that he knows what he must do. After 11 monsters have been captured, General Aguila questions Yaotl's actions. The generals conspire to betray Yaotl, wanting to remain immortal. Raphael encounters the Jersey Devil, one of the remaining monsters but drives it off. Leonardo finds Raphael in his Nightwatcher disguise and, not recognizing him, tries to convince him to stop his vigilante actions. Raphael, still angry, attacks Leonardo, but Leonardo bests him and knocks his helmet off. The two turtles chastise each other’s actions until their anger reaches a boiling point, resulting in a second fight. Raphael breaks Leonardo's swords, but flees in shame when his anger nearly drives him to kill Leonardo. The generals seize Leonardo, intending to substitute him for the 13th missing beast, and Raphael decides to make amends by rescuing Leonardo. As the portal opens, Yaotl discovers his generals' treachery, while Splinter and the Turtles, accompanied by Casey and April, fight their way through the Foot Clan cordon and breach the tower. Yaotl reveals the truth to the heroes: he wants to be free of his curse of immortality. The generals reveal that they wish to preserve their immortality, but also to use the portal to bring in more monsters to conquer the world.
Having refused to betray Yaotl in exchange for serving the Generals, Karai and the Foot Clan work together with April and Casey to search for the final monster, the Sea Monster, while the Turtles fight the generals. Splinter and Yaotl fight off numerous monsters emerging from the portal. April, Casey, and Karai arrive at the tower with the Sea Monster. The Sea Monster crashes into the Generals, dragging them into the portal before it closes. Karai warns them to enjoy their victory while it lasts, claiming they will soon contend with faces from their past, which the Turtles suspect to be the Shredder. She and the rest of the Foot Clan depart. Yaotl, now mortal, honors the Turtles and Splinter, thanking them for fulfilling his wish before dissipating. Splinter places Yaotl's helmet among his trophy collection, as well as Raphael's ""Nightwatcher"" helmet and Michelangelo's ""Cowabunga Carl"" head.
As they return to their roles as the shadowy guardians of New York City, Raphael narrates that the Turtles will always be brothers. He ends the film with the familiar saying, ""Oh, I love being a turtle."""
2002,Minority Report,American,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",science fiction,https://en.wikipedia.org/wiki/Minority_Report_(film),"In April 2054, Washington, DC's PreCrime police stops murderers before they act, reducing the murder rate to zero. Murders are predicted using three mutated humans, called ""Precogs"", who ""previsualize"" crimes by receiving visions of the future. Would-be murderers are imprisoned in their own happy virtual reality. The Federal government is on the verge of adopting the controversial program.
Since the disappearance of his son Sean, PreCrime Captain John Anderton has both separated from his wife Lara and become a drug addict. While United States Department of Justice agent Danny Witwer is auditing the program, the Precogs generate a new prediction, implying Anderton will murder a man named Leo Crow in 36 hours. Anderton does not know Crow, but flees the area as Witwer begins a manhunt. Anderton seeks the advice of Dr. Iris Hineman, the creator of PreCrime technology. She reveals that sometimes, one of the Precogs, usually Agatha, has a different vision than the other two, a ""minority report"" of a possible alternate future; this has been kept a secret as it would damage the system's credibility. Anderton resolves to recover the minority report to prove his innocence.
Anderton goes to a black market doctor for a risky eye transplant so as to avoid the citywide optical recognition system. He returns to PreCrime and kidnaps Agatha, shutting down the system, as the Precogs operate as a group mind. Anderton takes Agatha to a hacker to extract the minority report of Leo Crow, but none exists; instead, Agatha shows him an image of the murder of Ann Lively, a woman who was drowned by a hooded figure in 2049.
Anderton and Agatha go to Crow's hotel room as the 36-hour time nears, finding numerous photos of children, including Sean's. Crow arrives and Anderton prepares to kill him, accusing him of being a serial child killer. Agatha talks Anderton out of shooting Crow by telling him that he has the ability to choose his future now that he is aware of it. Crow however begs to be killed, having been hired to plant the photos and be killed in exchange for his family's financial well being. Crow grabs Anderton's gun and pushes the trigger, killing himself. Anderton and Agatha flee to Lara's house outside the city for refuge. There they learn Lively was Agatha's drug-addicted mother who sold her to PreCrime. Lively had sobered up and attempted to reclaim Agatha, but was murdered. Anderton realizes he is being targeted for knowing about Lively's existence and her connection to Agatha.
Witwer, studying Crow's death, suspects Anderton is being framed. He examines the footage of Lively's murder and finds there were two attempts on her life, the first having been stopped by PreCrime but the second, occurring minutes later, having succeeded. Witwer reports this to the director and founder of PreCrime, Lamar Burgess, but Burgess responds by killing Witwer using Anderton's gun. With the Precogs still offline, the murder is not detected.
Lara calls Burgess to reveal that Anderton is with her, and Anderton is captured, accused of both murders, and fitted with the brain device that puts him permanently into a dreamlike sleep. As his body is deposited into the prison, the warden tells him, ""that all your dreams come true”.
Agatha is reconnected to the PreCrime system. While attempting to comfort Lara, Burgess accidentally reveals himself as Lively's murderer. Lara frees Anderton from stasis, and Anderton exposes Burgess at a PreCrime celebratory banquet by playing the full video of Agatha's vision of Burgess killing Lively. A new report is generated at PreCrime: Burgess will kill Anderton. Burgess corners Anderton, and explains that as he could not afford to let Lively take Agatha back without impacting PreCrime, he arranged to kill Lively following an actual attempt on her life, so that the murder would appear as an echo to the technician within PreCrime and be ignored. Anderton points out Burgess's dilemma: If Burgess kills Anderton, he will be imprisoned for life, but PreCrime will be validated; if he spares Anderton, PreCrime will be discredited and shut down. Anderton reveals the ultimate flaw of the system: once people are aware of their future, they are able to change it. Burgess shoots himself.
After Burgess's death, the PreCrime system is shut down. All the prisoners are unconditionally pardoned and released, although they are kept under occasional surveillance. Anderton and Lara are soon to have a new child together. The Precogs are sent to an undisclosed location to live their lives in peace."
2003,Blizzard,American,LeVar Burton,"Brenda Blethyn, Christopher Plummer, Kevin Pollak",family,https://en.wikipedia.org/wiki/Blizzard_(film),"Ten-year old Jess is devastated after her friend Bobby moves out of town. Her Aunt Millie comes to visit and decides to tell her a story about Katie, who is also ten years old, who wanted to ice-skate. While practicing on an outdoor rink near her home, Katie is befriended by Otto Brewer, a former Olympic skating champion, who offers to teach her ""proper skating,"" and under Otto's tutelage, Katie blossoms into a magnificent skater. However, Katie is devastated when her father loses his job and the family is forced to move to the big city. Meanwhile, in the North Pole, Santa and his elves are celebrating the birth of Blizzard (Whoopi Goldberg), a baby reindeer born to Blitzen and Delphi. It quickly becomes apparent that Blizzard possesses all three magical reindeer gifts: the ability to fly, the power to make herself invisible, and the gift of empathic navigation - being able to see with her heart. Using her empathic ability, Blizzard feels Katie's sadness and flies to Katie's home to investigate. Despite the rigid rules of the North Pole, Blizzard helps Katie learn that the value of true friendships is that they never truly go away. However, by breaking these rules, Blizzard must face the possibility of banishment at the hands of Archimedes, Santa's strict head elf. Only true friendship can save her now. Katie's former bully Erin becomes a humble friend after being saved from drowning in a thin-iced frozen pond by Katie, with Blizzard's help."
2004,Primer,American,Shane Carruth,"Shane Carruth, David Sullivan",science fiction,https://en.wikipedia.org/wiki/Primer_(film),"Two engineers – Aaron and Abe – supplement their day-jobs with entrepreneurial tech projects, working out of Aaron's garage. During one such research effort, involving electromagnetic reduction of objects' weight, the two men accidentally discover an 'A-to-B' time loop side-effect: objects left in the weight-reducing field exhibit temporal anomalies, proceeding normally (from time 'A,' when the field was activated, to time 'B,' when the field is powered off), then backwards (from 'B' back to 'A') in a continuously repeating sequence, such that objects can leave the field in the present, or at some previous point.
Abe refines this proof-of-concept and builds a stable time-apparatus (""the box""), sized to accommodate a human subject. Abe uses this box to travel six hours into his own past—as part of this process, Original-Abe sits incommunicado in a hotel room, so as not to interact or interfere with the outside world, after which Original-Abe enters the box, waits inside the box for six hours (thus going back in time six hours), and becomes Future-Abe, who travels across town, explains the proceedings to Aaron, and brings Aaron back to the self-storage facility housing the box. At the end of the overlap-timespan, Original-Abe enters the box and ceases to exist.
Abe and Aaron repeat Abe's six-hour experiment multiple times over multiple days, making profitable same-day stock trades armed with foreknowledge of the market's performance. The duo's divergent personalities – Abe cautious and controlling, Aaron impulsive and meddlesome – put subtle strain on their collaboration and friendship. These tensions come to a head after a late-night encounter with Thomas Granger (father to Abe's girlfriend, Rachel), who appears inexplicably unshaven and exists in overlap with his original suburban self. Granger falls into a comatose state after being pursued by Aaron; Aaron theorizes that, at some unknown point in the future, Granger entered the ""box"", with timeline-altering consequences. Abe concludes that time travel is simply too dangerous, and enters a secret second box (the ""failsafe box,"" built before the experiment begun and kept continuously running), traveling back four days to prevent the experiment's launch.
Cumulative competing interference wreaks havoc upon the timeline. Future-Abe sedates Original-Abe (so he will never conduct the initial time travel experiment), and meets Original-Aaron at a park bench (so as to dissuade him), but finds that Future-Aaron has gotten there first (armed with pre-recordings of the past conversations, and an unobtrusive earpiece), having brought a disassembled ""third failsafe box"" four days back with his own body. Future-Abe faints at this revelation, overcome by shock and fatigue.
The two men briefly and tentatively reconcile. They jointly travel back in time, experiencing and reshaping an event where Abe's girlfriend Rachel was nearly killed by a gun-wielding party crasher. After many repetitions, Aaron, forearmed with knowledge of the party's events, stops the gunman, becoming a local hero. Abe and Aaron ultimately part ways; Aaron considers a new life in foreign countries where he can tamper more broadly for personal gain, while Abe states his intent to remain in town and dissuade/sabotage the original ""box"" experiment. Abe warns Aaron to leave and never return.
The epilogue reveals that multiple ""box-aware"" versions of Aaron are still alive and circulating – at least one Future-Aaron has shared his knowledge with Original-Aaron, via discussions, voice-recordings, and an unsuccessful physical altercation. Future-Abe watches over Original-Abe, going to painstaking extremes to keep him unaware of the future. The film's final scene depicts a fully aware Aaron, directing French-speaking workers in the construction of a warehouse-sized box."
2009,Next Day Air,American,Benny Boom,"Donald Faison, Mike Epps, Wood Harris, Omari Hardwick, Darius McCrary, Yasmin Deliz, Mos Def","comedy, crime",https://en.wikipedia.org/wiki/Next_Day_Air,"Leo works for Next Day Air (NDA), a package delivery company, but is going to get fired for any more mistakes. While delivering a package addressed to Jesus in apartment 303, Leo accidentally delivers it to apartment 302. Before Leo can leave Jesus asks if Leo has the package and gets worried when he is empty handed. Guch and Brody, two inept criminals, open the package and find ten bricks of cocaine hidden in a clay pot. Brody remembers that his cousin, Shavoo, has cut cocaine before. Shavoo and his partner, Buddy, come to Guch's apartment and settle on $15,000 a brick.
Bodega, Jesus's boss and original sender of the package, calls to confirm the package was delivered. Jesus tells Bodega it was not delivered even though the tracking information says otherwise. Jesus is concerned that Bodega is going to kill him and assumes that Leo stole the package. While searching Jesus tells Chita that his previous boss was killed because of a similar situation. Jesus and Chita find Eric, another employee of NDA, who they hold at gun point and steal his watch. Finally realizing that it is not Leo they continue their search.
Shavoo has trouble getting his money from storage because he was robbed by the front desk clerk. He interrogates the clerk and finds the storage garage where his money and supplies are. Shavoo and Buddy locks the clerk and his accomplice inside a garage, bound and gagged with duct tape.
Bodega surprises Jesus in Philadelphia, to his dismay, and they search for Leo together. Jesus tortures Leo but he can't remember anything. Back at the apartments Leo is walking down the hallway and finally remembers he delivered it to 302. Bodega forces Leo to request the package back while Guch is inside counting the money. Brody informs Leo that he sent the package back to NDA headquarters. Bodega realizes something strange is going on and forces his way into the apartment. Everyone is at gun point but Guch takes the first shot at Jesus. After the gunfight Shavoo limps away nearly dead; Leo, completely uninjured, jumps up and leaves with the money; and Chita comes to check on Jesus, who is wounded. Luckily, he is saved by the watch he took from another employee of NDA earlier. Jesus and Chita walk away with the cocaine as sirens can be heard in the background."
2001, Uprising,American,Jon Avnet,"Leelee Sobieski, Hank Azaria, David Schwimmer, Jon Voight",war drama,https://en.wikipedia.org/wiki/Uprising_(2001_film),Polish Jews imprisoned in the Warsaw Ghetto rise up against the Nazi German army in 1943.
